instrument,release,observations,mean_revision_rate,median_revision_rate,mean_absolute_revision,revision_rmse,positive_revision_share,large_revision_share
card_payments,flash,96,0.005759377044030224,0.008316590234112787,0.046581588394799166,0.05733015336377966,0.5625,0.3958333333333333
card_payments,first_release,96,0.006575168187292041,0.01033345289132866,0.025736688592289763,0.03127880362951823,0.625,0.125
cash_withdrawals,flash,25,0.005060637643308623,0.01880913927083945,0.0515786693932492,0.05936403755933824,0.6,0.48
cash_withdrawals,first_release,25,0.003931326125354152,-0.0033104946722796206,0.02125425104868278,0.027011575340205367,0.48,0.08
cheques,flash,53,0.0031530317579618024,-0.00227600999499728,0.050419078122169565,0.061268971669280116,0.4528301886792453,0.4716981132075472
cheques,first_release,53,0.007042196196229993,0.009848018273726871,0.03232233172220591,0.03923539093033069,0.5660377358490566,0.2641509433962264
credit_transfers,flash,98,-0.01579460422642307,-0.01356751220894492,0.048712079618415886,0.06141600771291573,0.41836734693877553,0.4387755102040816
credit_transfers,first_release,98,-0.0012501430651046467,-0.003962410933544469,0.03038996340806207,0.038791819780007834,0.45918367346938777,0.24489795918367346
direct_debits,flash,71,0.010633455514544414,0.012163906395363968,0.042785422727836926,0.052284487263985775,0.6338028169014085,0.39436619718309857
direct_debits,first_release,71,0.00647356953437226,0.005728634522918665,0.027644031172126455,0.03502117877423933,0.5915492957746479,0.14084507042253522
e_money,flash,91,0.005974293238793265,0.016093485223993585,0.04677616596609998,0.05688591817023908,0.6153846153846154,0.38461538461538464
e_money,first_release,91,-0.001735892789636881,-0.005877504028828324,0.0302250514706428,0.03728410522293266,0.43956043956043955,0.18681318681318682
instant_payments,flash,83,-0.009896811876617527,-0.011706619688005198,0.051990401635196824,0.06539054106842707,0.42168674698795183,0.3855421686746988
instant_payments,first_release,83,0.0050690867882295845,0.0029750844547700335,0.03486837950366887,0.042097124500129444,0.5180722891566265,0.26506024096385544
mobile_wallets,flash,97,-0.0008117188822348989,-0.00028674802589804984,0.05346693603693619,0.06601427269983884,0.4948453608247423,0.4742268041237113
mobile_wallets,first_release,97,-0.0021432604416773806,-0.003239866861677903,0.030353327300353873,0.03644182117353091,0.4845360824742268,0.17525773195876287
open_banking_initiations,flash,78,-0.007647430567458255,-0.006442181252765028,0.051079812616363504,0.06157031188316946,0.41025641025641024,0.47435897435897434
open_banking_initiations,first_release,78,0.00032368147297314896,0.006644571118349884,0.0319105484471282,0.03985519308435281,0.5641025641025641,0.2564102564102564
