term,coefficient,standard_error,t_statistic,p_value,lower_95,upper_95,component
const,0.002075832353425516,0.0020107024678396772,1.0323916077229542,0.3018887017976306,-0.0018651444835402512,0.006016809190391283,intercept
lagged_equilibrium_error,-0.028447994560455908,0.023844809735960246,-1.1930476642702508,0.23285070641272898,-0.07518382164293799,0.01828783252202617,speed_of_adjustment
L0_change_log_producer,0.04603848066346154,0.05861672357390948,0.7854154558026755,0.43221002175310064,-0.06885029754140103,0.1609272588683241,short_run_pass_through
L1_change_log_producer,-0.023379684462184577,0.052525150024865484,-0.44511409203241875,0.6562373054331929,-0.12632897851092093,0.07956960958655176,short_run_pass_through
L2_change_log_producer,0.011942818305577231,0.04707100118386666,0.25371923275918273,0.7997124745575317,-0.08031634401480142,0.10420198062595587,short_run_pass_through
L3_change_log_producer,0.06822731045891278,0.036050425470860833,1.8925521562584657,0.05841745140079224,-0.002431523463974447,0.13888614438180003,short_run_pass_through
L4_change_log_producer,0.110157071917602,0.05018141794036309,2.19517655018269,0.0281509357141303,0.011801492754490342,0.20851265108071365,short_run_pass_through
L0_change_log_energy_cost_index,0.043741517385131115,0.029396306297109657,1.48799365957865,0.1367525657428048,-0.013875242957203812,0.10135827772746604,short_run_pass_through
L1_change_log_energy_cost_index,0.05327575584469039,0.03345574180212456,1.5924248865797734,0.11128926809172213,-0.012297498087473747,0.11884900977685453,short_run_pass_through
L2_change_log_energy_cost_index,0.0028785241330332636,0.03518149680019025,0.08181926281822374,0.9347904379171017,-0.06607720959533962,0.07183425786140614,short_run_pass_through
L3_change_log_energy_cost_index,-0.0213137022631689,0.03014935328840256,-0.7069372951149689,0.47960544597651733,-0.08040643470843792,0.03777903018210012,short_run_pass_through
L4_change_log_energy_cost_index,0.008157520089932776,0.030799485024691913,0.26485897681058307,0.7911181017612963,-0.052209470558463374,0.06852451073832892,short_run_pass_through
L0_change_log_agricultural_wage_index,0.05030113565314683,0.06712554768235593,0.7493590352689007,0.45364083447713965,-0.08126493780427077,0.18186720911056445,short_run_pass_through
L1_change_log_agricultural_wage_index,-0.08359374338876019,0.11512816950210976,-0.726092873275713,0.46778183768202686,-0.30924495561289533,0.14205746883537493,short_run_pass_through
L2_change_log_agricultural_wage_index,-0.05102962857718846,0.1292831828795228,-0.3947120378738065,0.6930554177211476,-0.30442466702105314,0.20236540986667623,short_run_pass_through
L3_change_log_agricultural_wage_index,-0.0439270715656174,0.11844486412287752,-0.37086514380265917,0.7107379779007252,-0.27607900524645734,0.18822486211522255,short_run_pass_through
L4_change_log_agricultural_wage_index,-0.004407698770982765,0.07596411147623343,-0.05802343613749479,0.953729960634581,-0.15329735726440027,0.14448195972243474,short_run_pass_through
