horizon,coefficient,cluster_standard_error,lower_95,upper_95,observations,clusters
0,0.04894512311896978,0.027301668856827395,-0.004566147840411913,0.10245639407835147,1428,12
1,0.04537863267810665,0.026047736232020505,-0.00567493033665354,0.09643219569286685,1416,12
2,0.012755294565540694,0.022098309356449873,-0.030557391773101055,0.05606798090418244,1404,12
3,0.006454996582288548,0.02431326545922941,-0.041199003717801094,0.05410899688237819,1392,12
4,-0.005848713989261655,0.020295458485831377,-0.045627812621491154,0.03393038464296784,1380,12
5,-0.006112460771095506,0.018572711916549238,-0.042514976127532016,0.030290054585341,1368,12
6,0.0012665624877811685,0.01901968890603349,-0.03601202776804447,0.03854515274360681,1356,12
7,-0.006546792162823457,0.017105403879689184,-0.04007338376701426,0.026979799441367344,1344,12
8,-0.004637821749177531,0.019836864475394178,-0.04351807612095012,0.034242432622595055,1332,12
9,-0.0110530050582626,0.016643959870856255,-0.04367516640514086,0.021569156288615658,1320,12
10,-0.004411800952259371,0.01410892842674424,-0.03206530066867808,0.023241698764159338,1308,12
11,-0.003543223803522705,0.012186589759231686,-0.027428939731616808,0.0203424921245714,1296,12
12,-0.0019248247511362542,0.011965270777141775,-0.025376755474334135,0.021527105972061623,1284,12
